 ,person,bicycle,car,motorcycle,airplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,bench,bird,cat,dog,horse,sheep,cow,elephant,bear,zebra,giraffe,backpack,umbrella,handbag,tie,suitcase,frisbee,skis,snowboard,sports ball,kite,baseball bat,baseball glove,skateboard,surfboard,tennis racket,bottle,wine glass,cup,fork,knife,spoon,bowl,banana,apple,sandwich,orange,broccoli,carrot,hot dog,pizza,donut,cake,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,mouse,remote,keyboard,cell phone,microwave,oven,toaster,sink,refrigerator,book,clock,vase,scissors,teddy bear,hair drier,toothbrush,end node
baseball bat,0.3811,0.0026,0.0206,0.0003,0.0003,0.0006,0.0,0.0054,0.0009,0.0005,0.0011,0.0006,0.0,0.0663,0.0003,0.0003,0.0015,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0102,0.0028,0.0055,0.0046,0.0005,0.0005,0.0,0.0,0.1445,0.0,0.0,0.2562,0.0002,0.0,0.0005,0.0123,0.0003,0.0071,0.0,0.0002,0.0,0.0006,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0003,0.0003,0.0571,0.0006,0.0005,0.0,0.0006,0.0,0.0022,0.0,0.0002,0.0002,0.0002,0.0038,0.0,0.0002,0.0,0.0,0.0002,0.0018,0.0015,0.0,0.0003,0.0002,0.0,0.0,0.0012
baseball glove,0.3898,0.0019,0.0207,0.0,0.0003,0.0009,0.0,0.0048,0.0003,0.0007,0.0004,0.0006,0.0,0.0566,0.0003,0.0004,0.0016,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0079,0.0022,0.0037,0.0039,0.0004,0.0001,0.0004,0.0003,0.1727,0.0001,0.2494,0.0,0.0003,0.0,0.0001,0.0096,0.0,0.0061,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0004,0.0529,0.0004,0.0006,0.0001,0.0004,0.0,0.0015,0.0,0.0,0.0001,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.001,0.0013,0.0,0.0,0.0,0.0,0.0,0.0003
skateboard,0.5539,0.0399,0.1007,0.0049,0.0003,0.0079,0.0016,0.0251,0.0041,0.0136,0.0052,0.0039,0.0011,0.0522,0.0034,0.0005,0.0128,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0,0.0512,0.0089,0.024,0.0032,0.0026,0.0002,0.0002,0.0037,0.0021,0.0008,0.0002,0.0003,0.0,0.0018,0.0,0.012,0.0002,0.0042,0.0,0.0,0.0002,0.001,0.0,0.0,0.0003,0.0,0.0,0.0,0.0003,0.0003,0.0,0.0002,0.0139,0.0021,0.0071,0.0008,0.005,0.0,0.001,0.0016,0.0,0.0002,0.0002,0.0086,0.0,0.0003,0.0,0.0002,0.0005,0.0016,0.0021,0.0005,0.0,0.0005,0.0,0.0,0.0045
surfboard,0.7157,0.0081,0.0285,0.0015,0.0006,0.0026,0.0004,0.0104,0.0374,0.0017,0.0006,0.0009,0.0,0.0066,0.0119,0.0004,0.0223,0.0002,0.0002,0.0002,0.0,0.0,0.0002,0.0002,0.0174,0.0177,0.0132,0.0009,0.0004,0.0002,0.0009,0.0026,0.0034,0.0351,0.0,0.0,0.0023,0.0,0.0,0.0045,0.0006,0.0032,0.0,0.0,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0002,0.0004,0.0183,0.0006,0.0023,0.0013,0.0038,0.0,0.0006,0.0004,0.0002,0.0004,0.0,0.0023,0.0002,0.0,0.0,0.0,0.0002,0.0019,0.0026,0.0004,0.0,0.0004,0.0,0.0,0.0085
tennis racket,0.4717,0.002,0.0208,0.0006,0.0004,0.0011,0.0,0.0035,0.0003,0.001,0.0003,0.0007,0.0,0.0401,0.0001,0.0006,0.002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0182,0.0065,0.0118,0.0114,0.0013,0.0007,0.0,0.0,0.2557,0.0,0.0004,0.0001,0.0,0.0,0.0,0.0147,0.0001,0.0029,0.0,0.0,0.0,0.0006,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.096,0.0013,0.0083,0.0,0.0008,0.0,0.0015,0.0006,0.0001,0.0004,0.0001,0.0044,0.0001,0.0003,0.0,0.0001,0.0004,0.0018,0.0116,0.0004,0.0001,0.0003,0.0,0.0001,0.0008
bottle,0.1172,0.0042,0.0062,0.0015,0.0003,0.0008,0.0007,0.0028,0.0018,0.001,0.0003,0.0004,0.0001,0.0079,0.0015,0.0077,0.0058,0.001,0.0004,0.0004,0.0004,0.0001,0.0,0.0002,0.0107,0.0054,0.0164,0.006,0.0034,0.0015,0.0003,0.0001,0.003,0.0004,0.0021,0.0016,0.0019,0.0005,0.0027,0.0,0.0287,0.0764,0.0237,0.0363,0.0302,0.0562,0.0075,0.0066,0.012,0.0074,0.0042,0.0053,0.0055,0.017,0.0036,0.0108,0.0612,0.0151,0.0197,0.0074,0.0736,0.0136,0.0168,0.014,0.007,0.0108,0.0072,0.0159,0.0154,0.029,0.003,0.0456,0.0255,0.0239,0.011,0.0176,0.0041,0.0033,0.0011,0.0071,0.0007
wine glass,0.123,0.001,0.0035,0.0004,0.0001,0.0001,0.0004,0.0009,0.001,0.0001,0.0002,0.0001,0.0001,0.0022,0.0009,0.0024,0.0019,0.0003,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0034,0.004,0.0151,0.0154,0.0007,0.0001,0.0001,0.0,0.0003,0.0003,0.0001,0.0,0.0001,0.0002,0.0001,0.0833,0.0,0.0836,0.0498,0.0543,0.0361,0.0563,0.0032,0.0044,0.0143,0.0043,0.006,0.0069,0.0019,0.0213,0.0023,0.0181,0.075,0.0166,0.021,0.0017,0.1232,0.0004,0.0108,0.0071,0.0013,0.0072,0.0021,0.0135,0.0066,0.0131,0.0013,0.013,0.0097,0.0167,0.0088,0.0214,0.0014,0.0017,0.0,0.0003,0.001
cup,0.1076,0.0022,0.0053,0.0008,0.0002,0.0004,0.0002,0.0014,0.001,0.0006,0.0003,0.0003,0.0003,0.0055,0.0016,0.0059,0.0044,0.0005,0.0002,0.0002,0.0001,0.0001,0.0001,0.0002,0.006,0.004,0.0122,0.0078,0.0018,0.0007,0.0002,0.0,0.0014,0.0002,0.001,0.0009,0.0006,0.0003,0.0005,0.066,0.0249,0.0,0.0418,0.0447,0.0415,0.0625,0.0066,0.0053,0.0214,0.0062,0.006,0.0071,0.0066,0.0224,0.009,0.0183,0.0654,0.016,0.0175,0.0049,0.1039,0.0047,0.019,0.0192,0.011,0.0108,0.0115,0.0185,0.0106,0.0179,0.0018,0.0247,0.0133,0.0246,0.0084,0.017,0.0037,0.0029,0.0007,0.0043,0.0003
fork,0.0963,0.0008,0.0034,0.0003,0.0,0.0,0.0001,0.0006,0.0007,0.0,0.0,0.0002,0.0001,0.0038,0.0007,0.0013,0.0014,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0021,0.0019,0.0075,0.0046,0.0004,0.0001,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0503,0.0363,0.1025,0.0,0.0973,0.0623,0.0731,0.0042,0.0053,0.0343,0.0061,0.0177,0.0188,0.006,0.0411,0.0045,0.0386,0.0557,0.0057,0.0101,0.0006,0.1463,0.0,0.0038,0.0027,0.0007,0.0013,0.0011,0.0098,0.0031,0.0053,0.0003,0.0041,0.0027,0.0076,0.0041,0.0075,0.0014,0.0007,0.0,0.0003,0.0002
knife,0.1051,0.001,0.0025,0.0002,0.0001,0.0,0.0,0.0004,0.001,0.0,0.0,0.0002,0.0,0.0021,0.0006,0.0016,0.0016,0.0002,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0021,0.0018,0.0062,0.0084,0.0004,0.0001,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0628,0.0324,0.0897,0.0796,0.0,0.0537,0.0728,0.007,0.0091,0.0255,0.0072,0.0102,0.014,0.0034,0.0362,0.0038,0.0401,0.0517,0.0051,0.0129,0.0006,0.1218,0.0001,0.0042,0.0024,0.0008,0.0013,0.001,0.0085,0.0123,0.0252,0.0026,0.0209,0.0129,0.0092,0.0064,0.0094,0.0044,0.0008,0.0,0.0004,0.0012
spoon,0.0897,0.0007,0.0029,0.0002,0.0,0.0001,0.0001,0.0011,0.0006,0.0002,0.0,0.0001,0.0,0.003,0.0009,0.0019,0.0018,0.0003,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0022,0.0021,0.0068,0.0038,0.0006,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0625,0.0257,0.0996,0.061,0.0643,0.0,0.1119,0.009,0.0082,0.0254,0.0075,0.0138,0.0183,0.0045,0.0143,0.006,0.0281,0.0506,0.0055,0.0124,0.0011,0.1113,0.0,0.0042,0.0053,0.0013,0.0016,0.0021,0.0081,0.0128,0.0327,0.0028,0.0228,0.0141,0.01,0.0069,0.0098,0.0034,0.001,0.0001,0.0005,0.0005
bowl,0.0867,0.0014,0.0027,0.0005,0.0001,0.0001,0.0001,0.0011,0.001,0.0001,0.0001,0.0002,0.0,0.0034,0.0017,0.0074,0.005,0.0005,0.0003,0.0004,0.0003,0.0001,0.0002,0.0003,0.0028,0.0024,0.0078,0.0036,0.0012,0.0002,0.0001,0.0,0.0005,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0654,0.0226,0.0843,0.0402,0.0489,0.0629,0.0,0.0155,0.016,0.0218,0.0186,0.0217,0.0215,0.0054,0.0153,0.0053,0.0184,0.0534,0.0138,0.019,0.0025,0.1016,0.0024,0.0102,0.0063,0.0018,0.0054,0.0024,0.009,0.0158,0.0329,0.0028,0.0297,0.0211,0.0178,0.0085,0.0192,0.0035,0.002,0.0003,0.0012,0.0006
banana,0.1485,0.0101,0.0118,0.0072,0.0,0.0019,0.0006,0.0082,0.0037,0.001,0.0002,0.0005,0.0002,0.0045,0.0027,0.0062,0.0035,0.0008,0.0002,0.0013,0.0014,0.0002,0.0,0.0,0.0078,0.0102,0.0168,0.0022,0.0011,0.0005,0.0002,0.0002,0.0002,0.0002,0.0,0.0,0.0,0.0005,0.0002,0.0467,0.0069,0.0477,0.0125,0.0251,0.027,0.0827,0.0,0.0807,0.0109,0.0763,0.0072,0.0114,0.0011,0.0024,0.0032,0.0123,0.036,0.0067,0.0123,0.0035,0.0725,0.0002,0.005,0.0054,0.0027,0.0014,0.0032,0.0043,0.0107,0.0171,0.0024,0.0155,0.015,0.0133,0.005,0.009,0.0018,0.0019,0.0,0.0,0.0462
apple,0.0883,0.003,0.0056,0.0017,0.0,0.0014,0.0007,0.0047,0.0031,0.0007,0.0002,0.0,0.0,0.0031,0.0084,0.0051,0.004,0.0005,0.0002,0.0009,0.001,0.0003,0.0,0.0,0.0054,0.0044,0.0143,0.0024,0.0012,0.0,0.0,0.0,0.0005,0.0005,0.0002,0.0002,0.0,0.0,0.0,0.0447,0.0103,0.0414,0.0171,0.0358,0.0269,0.0933,0.0881,0.0,0.0121,0.112,0.0178,0.0236,0.0007,0.0023,0.0024,0.0098,0.0367,0.0105,0.0159,0.0028,0.0757,0.0002,0.0086,0.0072,0.0026,0.0023,0.0028,0.0042,0.0126,0.021,0.0026,0.0185,0.0205,0.0147,0.0091,0.014,0.0021,0.0023,0.0,0.0002,0.0124
sandwich,0.1106,0.002,0.0061,0.0002,0.0,0.0009,0.0002,0.0009,0.0012,0.0006,0.0003,0.0005,0.0,0.0057,0.0001,0.0016,0.0011,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0034,0.0034,0.0087,0.0016,0.0002,0.0001,0.0,0.0,0.0002,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0526,0.0216,0.1086,0.0709,0.0645,0.0537,0.0822,0.0077,0.0078,0.0,0.0088,0.0143,0.0182,0.0336,0.009,0.0075,0.0163,0.0422,0.0039,0.0078,0.0015,0.1509,0.0,0.0036,0.0042,0.0014,0.0016,0.0029,0.0068,0.0023,0.0044,0.0005,0.0035,0.0032,0.0071,0.0041,0.0048,0.0008,0.0014,0.0,0.0,0.0138
orange,0.0813,0.0034,0.0066,0.0025,0.0,0.0017,0.0003,0.0049,0.0015,0.0005,0.0002,0.0002,0.0,0.0027,0.002,0.0037,0.0051,0.0005,0.0,0.0008,0.0007,0.0002,0.0,0.0002,0.0052,0.0057,0.0138,0.0012,0.001,0.0,0.0002,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0487,0.0098,0.0466,0.0189,0.0271,0.0237,0.1044,0.0803,0.1079,0.0131,0.0,0.0194,0.0253,0.0019,0.004,0.004,0.0155,0.036,0.0089,0.019,0.003,0.0822,0.0002,0.0072,0.0056,0.001,0.002,0.0015,0.004,0.0116,0.0204,0.002,0.0185,0.0184,0.0121,0.0074,0.014,0.0013,0.0013,0.0,0.0002,0.0251
broccoli,0.0543,0.001,0.0028,0.0002,0.0,0.0,0.0,0.0016,0.0,0.0002,0.0,0.0,0.0,0.001,0.0006,0.001,0.0008,0.0004,0.0,0.0,0.0002,0.0,0.0002,0.0,0.0006,0.0014,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0326,0.0159,0.0535,0.0646,0.0457,0.0515,0.1442,0.0089,0.0203,0.0253,0.0229,0.0,0.1239,0.0046,0.0245,0.0008,0.0074,0.0245,0.0022,0.0046,0.0002,0.1467,0.0,0.0018,0.0012,0.0002,0.0008,0.0012,0.002,0.0028,0.0113,0.0006,0.0058,0.0034,0.0056,0.0018,0.0026,0.0012,0.0004,0.0,0.0,0.0604
carrot,0.0671,0.0018,0.0044,0.0009,0.0,0.0004,0.0002,0.0029,0.0006,0.0002,0.0,0.0002,0.0,0.0011,0.0007,0.0033,0.0046,0.0009,0.0004,0.0,0.0011,0.0026,0.0,0.002,0.0017,0.0033,0.007,0.0024,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0002,0.0381,0.0171,0.0589,0.0633,0.0576,0.0629,0.132,0.013,0.0248,0.0297,0.0275,0.1142,0.0,0.009,0.0101,0.0015,0.0117,0.0227,0.0039,0.0057,0.0013,0.1216,0.0,0.0022,0.002,0.0006,0.0013,0.0022,0.0029,0.0026,0.0114,0.0009,0.0055,0.0051,0.0062,0.0028,0.0039,0.0022,0.0011,0.0,0.0,0.0103
hot dog,0.2068,0.0033,0.0155,0.0003,0.0,0.0024,0.0006,0.0036,0.0027,0.0027,0.0006,0.0,0.0006,0.0096,0.0015,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0087,0.0203,0.0036,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0003,0.0003,0.0006,0.0,0.0003,0.064,0.0078,0.0888,0.0329,0.0227,0.0254,0.0541,0.0021,0.0012,0.0894,0.0033,0.0069,0.0146,0.0,0.0063,0.0045,0.009,0.0523,0.0042,0.0063,0.0006,0.1363,0.0,0.0039,0.0018,0.0003,0.0003,0.0006,0.0051,0.0018,0.0054,0.0,0.0024,0.0039,0.0054,0.0045,0.0015,0.0012,0.0003,0.0,0.0,0.0329
pizza,0.1543,0.0014,0.0067,0.0006,0.0001,0.0003,0.0,0.0013,0.0003,0.0004,0.0002,0.0002,0.0003,0.005,0.0007,0.0013,0.0027,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0019,0.0093,0.0017,0.0005,0.0002,0.0,0.0,0.0006,0.0,0.0,0.0001,0.0002,0.0002,0.0,0.0639,0.0275,0.0973,0.0728,0.0784,0.0259,0.0494,0.0014,0.0013,0.0077,0.0023,0.0119,0.0053,0.002,0.0,0.0012,0.0041,0.0617,0.006,0.0079,0.0013,0.1647,0.0,0.0051,0.0024,0.0013,0.0016,0.002,0.0096,0.0041,0.0208,0.0005,0.0043,0.0052,0.0072,0.0042,0.0027,0.0023,0.0009,0.0,0.0001,0.0379
donut,0.2156,0.0034,0.016,0.0005,0.0,0.0021,0.0008,0.0039,0.0005,0.0026,0.0003,0.0003,0.0003,0.0052,0.0008,0.0036,0.0057,0.001,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0049,0.0026,0.0165,0.0026,0.0015,0.0,0.0,0.0,0.001,0.0,0.0005,0.0,0.0,0.0003,0.0,0.0367,0.008,0.1046,0.0214,0.0222,0.0289,0.0454,0.0052,0.0036,0.0173,0.0062,0.001,0.0021,0.0039,0.0031,0.0,0.0462,0.0571,0.0088,0.0085,0.0028,0.1356,0.0003,0.007,0.0046,0.0026,0.0023,0.0057,0.0077,0.0026,0.0083,0.0003,0.0044,0.0065,0.0137,0.0039,0.0054,0.0008,0.0026,0.0003,0.0,0.0599
cake,0.1451,0.0008,0.0036,0.0003,0.0006,0.0002,0.0017,0.0017,0.0006,0.0001,0.0001,0.0004,0.0001,0.0028,0.0016,0.0016,0.0061,0.0018,0.0006,0.0001,0.0001,0.0004,0.0002,0.0,0.0025,0.0016,0.0083,0.0199,0.0006,0.0002,0.0002,0.0,0.0009,0.0001,0.0002,0.0003,0.0001,0.0002,0.0,0.0385,0.0223,0.0757,0.0652,0.0828,0.0484,0.0565,0.0071,0.0051,0.0133,0.0085,0.0034,0.0059,0.0028,0.0039,0.0165,0.0,0.0637,0.0083,0.012,0.0008,0.1572,0.0001,0.0074,0.0021,0.0015,0.0014,0.002,0.0091,0.0041,0.0099,0.001,0.004,0.0061,0.0112,0.0052,0.0098,0.002,0.0044,0.0,0.0,0.0153
chair,0.1433,0.0045,0.0098,0.0029,0.0008,0.0015,0.0012,0.004,0.0033,0.001,0.0006,0.0005,0.0003,0.0123,0.0028,0.0103,0.0095,0.0019,0.0005,0.0005,0.0009,0.0003,0.0001,0.0001,0.0125,0.0156,0.0177,0.0107,0.0054,0.0024,0.0005,0.0003,0.012,0.0018,0.0066,0.0063,0.0015,0.0015,0.0122,0.0425,0.0179,0.0526,0.0182,0.0207,0.017,0.0318,0.004,0.0037,0.0067,0.0038,0.0022,0.0022,0.0031,0.0114,0.0039,0.0124,0.0,0.0383,0.0307,0.0147,0.0914,0.0014,0.0355,0.0244,0.0126,0.0198,0.0124,0.017,0.0078,0.011,0.0011,0.0113,0.0125,0.0376,0.0137,0.023,0.0024,0.0059,0.0004,0.0009,0.0004
couch,0.1211,0.0021,0.0025,0.0002,0.0,0.0001,0.0002,0.0008,0.0006,0.0,0.0002,0.0002,0.0001,0.0032,0.0019,0.026,0.0252,0.0006,0.0002,0.0001,0.0002,0.0002,0.0001,0.0,0.009,0.0015,0.0124,0.0065,0.0047,0.0005,0.0001,0.0003,0.0013,0.0001,0.0002,0.0002,0.0007,0.0002,0.0005,0.0319,0.012,0.039,0.0056,0.0062,0.0056,0.025,0.0023,0.0033,0.0019,0.0029,0.0006,0.0011,0.0008,0.0034,0.0018,0.0049,0.1163,0.0,0.0505,0.0176,0.0559,0.0007,0.0689,0.0315,0.0067,0.0784,0.0072,0.0154,0.0055,0.006,0.0006,0.0068,0.0098,0.0738,0.0187,0.0423,0.0015,0.0115,0.0005,0.0016,0.0007
potted plant,0.1035,0.0077,0.019,0.0061,0.0006,0.0044,0.0021,0.007,0.0022,0.0056,0.0032,0.0021,0.0013,0.0174,0.0039,0.0125,0.0098,0.0039,0.0004,0.0006,0.0007,0.0003,0.0004,0.0006,0.0094,0.0123,0.0184,0.0081,0.0042,0.0009,0.0003,0.0002,0.0018,0.0004,0.0002,0.0002,0.0023,0.0006,0.0031,0.0404,0.0148,0.0415,0.0098,0.0152,0.0122,0.0336,0.0041,0.0048,0.0036,0.006,0.0012,0.0016,0.0011,0.0043,0.0017,0.0069,0.0907,0.0492,0.0,0.0089,0.0628,0.0074,0.0336,0.0145,0.0065,0.0193,0.0071,0.0098,0.01,0.0164,0.002,0.0252,0.0148,0.0388,0.0187,0.0725,0.0021,0.0053,0.0001,0.0023,0.0016
bed,0.1476,0.0023,0.0025,0.0001,0.0001,0.0,0.0002,0.0008,0.0006,0.0001,0.0001,0.0005,0.0,0.0031,0.0024,0.0626,0.041,0.0007,0.0002,0.0005,0.0002,0.0,0.0,0.0001,0.0169,0.0035,0.0181,0.0055,0.0236,0.0006,0.0001,0.0002,0.0017,0.0,0.0,0.0001,0.0006,0.0007,0.0,0.0333,0.0027,0.0255,0.0013,0.0015,0.0024,0.0095,0.0025,0.0018,0.0015,0.0021,0.0001,0.0008,0.0002,0.0015,0.0013,0.001,0.0951,0.0374,0.0195,0.0,0.0191,0.0031,0.0484,0.0467,0.01,0.0284,0.0109,0.0193,0.0035,0.0028,0.0005,0.009,0.0054,0.0873,0.0244,0.0176,0.0014,0.0395,0.001,0.0044,0.0389
dining table,0.1093,0.0026,0.0058,0.001,0.0002,0.0006,0.0003,0.0017,0.0013,0.0005,0.0002,0.0002,0.0002,0.0079,0.0017,0.0041,0.0042,0.0006,0.0002,0.0003,0.0002,0.0001,0.0001,0.0001,0.0054,0.0074,0.012,0.0076,0.0016,0.0008,0.0001,0.0001,0.0008,0.0003,0.0001,0.0001,0.0006,0.0003,0.0001,0.0533,0.0307,0.0871,0.05,0.0509,0.0389,0.0632,0.0084,0.0081,0.025,0.0091,0.0137,0.0123,0.0085,0.0318,0.0098,0.0318,0.0954,0.0192,0.0222,0.0031,0.0,0.0002,0.0141,0.0106,0.0029,0.0081,0.0031,0.0139,0.0071,0.0113,0.0012,0.0095,0.0106,0.0199,0.0079,0.0206,0.0025,0.0026,0.0001,0.0004,0.0004
toilet,0.0788,0.0012,0.0046,0.0002,0.0,0.0,0.0004,0.0019,0.0008,0.0006,0.0002,0.0002,0.0006,0.0017,0.001,0.0296,0.0046,0.0004,0.0,0.0002,0.0004,0.0,0.0,0.0,0.0023,0.0014,0.0083,0.0019,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1029,0.001,0.0407,0.0,0.0004,0.0,0.0153,0.0002,0.0002,0.0,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0157,0.0023,0.0271,0.0052,0.0021,0.0,0.006,0.0012,0.0004,0.0019,0.0006,0.0048,0.001,0.0014,0.0,0.3249,0.001,0.0165,0.0039,0.0219,0.001,0.0025,0.0085,0.0384,0.2083
tv,0.1003,0.0023,0.0038,0.0007,0.0004,0.0006,0.0005,0.0009,0.0006,0.0009,0.0004,0.0002,0.0001,0.0021,0.0018,0.0208,0.0089,0.0008,0.0002,0.0004,0.0003,0.0001,0.0,0.0001,0.0108,0.0014,0.013,0.0056,0.0066,0.0003,0.0002,0.0001,0.0021,0.0001,0.0007,0.0005,0.0003,0.0002,0.0006,0.0339,0.0075,0.0444,0.0036,0.0049,0.004,0.0176,0.0016,0.0025,0.0017,0.0022,0.0005,0.0006,0.0007,0.0027,0.0014,0.0042,0.103,0.0658,0.0329,0.0217,0.0391,0.0016,0.0,0.0526,0.0552,0.0583,0.0648,0.0252,0.0046,0.0054,0.0004,0.0074,0.0074,0.0762,0.0174,0.0237,0.0041,0.0062,0.0004,0.0007,0.0026
laptop,0.1214,0.0019,0.0039,0.0005,0.0003,0.0004,0.0005,0.0009,0.0003,0.0004,0.0,0.0001,0.0001,0.0046,0.0009,0.0272,0.0086,0.0001,0.0002,0.0003,0.0,0.0,0.0,0.0002,0.0154,0.0015,0.0152,0.0061,0.0046,0.0003,0.0001,0.0001,0.0011,0.0,0.0,0.0,0.0007,0.0001,0.0003,0.0376,0.0066,0.0598,0.0034,0.0037,0.0069,0.0145,0.0024,0.0028,0.0026,0.0023,0.0004,0.0008,0.0004,0.0017,0.0012,0.0016,0.0947,0.0403,0.019,0.028,0.0392,0.0004,0.0703,0.0,0.0739,0.0259,0.0669,0.0499,0.0037,0.0045,0.0004,0.0046,0.0051,0.0721,0.0105,0.0112,0.0054,0.004,0.0001,0.0004,0.0023
mouse,0.0579,0.0017,0.0028,0.0004,0.0,0.0002,0.0001,0.0002,0.0001,0.0001,0.0,0.0,0.0,0.0007,0.0007,0.0209,0.0042,0.0002,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0075,0.0011,0.0083,0.0018,0.002,0.0,0.0001,0.0,0.0017,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0334,0.0021,0.0606,0.0016,0.0022,0.0029,0.0072,0.0021,0.0018,0.0015,0.0007,0.0001,0.0004,0.0001,0.0016,0.0012,0.002,0.0864,0.0152,0.0152,0.0106,0.0188,0.0002,0.1303,0.1304,0.0,0.0266,0.157,0.0533,0.0012,0.0012,0.0,0.0011,0.0024,0.0844,0.0099,0.006,0.0083,0.0051,0.0,0.0004,0.0009
remote,0.1775,0.001,0.001,0.0002,0.0002,0.0,0.0,0.0003,0.0003,0.0002,0.0,0.0001,0.0,0.0007,0.0009,0.0175,0.0109,0.0002,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0097,0.0005,0.0128,0.0027,0.0023,0.0002,0.0,0.0003,0.0014,0.0,0.0001,0.0001,0.0001,0.0002,0.0003,0.0362,0.0084,0.0421,0.0021,0.0026,0.0026,0.0156,0.0008,0.0011,0.0012,0.001,0.0003,0.0006,0.0001,0.0015,0.0008,0.0013,0.0956,0.1248,0.0316,0.0212,0.0374,0.0009,0.0971,0.0323,0.0188,0.0,0.0209,0.023,0.0036,0.0032,0.0001,0.0035,0.0056,0.0729,0.016,0.0192,0.002,0.0048,0.0001,0.0003,0.0052
keyboard,0.0682,0.0017,0.0031,0.0003,0.0002,0.0001,0.0003,0.0005,0.0002,0.0002,0.0,0.0001,0.0001,0.0008,0.0011,0.0263,0.0064,0.0002,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0061,0.0007,0.0077,0.0029,0.0018,0.0001,0.0001,0.0001,0.0015,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0319,0.0032,0.0594,0.0024,0.0026,0.0046,0.009,0.0023,0.0018,0.003,0.001,0.0007,0.0014,0.0002,0.0024,0.0025,0.0025,0.0793,0.0152,0.0153,0.0107,0.0187,0.0003,0.1431,0.1105,0.1468,0.0277,0.0,0.0489,0.0021,0.0013,0.0001,0.0018,0.0025,0.0768,0.0107,0.0065,0.0083,0.0059,0.0002,0.0006,0.0038
cell phone,0.2284,0.0109,0.028,0.0048,0.0007,0.0054,0.0037,0.01,0.0022,0.0066,0.0016,0.0013,0.0008,0.0163,0.0014,0.0048,0.0054,0.0022,0.0008,0.0008,0.0008,0.0002,0.0001,0.0007,0.0286,0.0101,0.0543,0.016,0.007,0.0009,0.0008,0.0003,0.0027,0.0007,0.0015,0.001,0.0032,0.0007,0.0018,0.037,0.0108,0.0497,0.0107,0.0114,0.0091,0.018,0.0016,0.0014,0.0036,0.0014,0.0006,0.001,0.001,0.0059,0.0018,0.0059,0.0568,0.0169,0.011,0.01,0.0445,0.0015,0.029,0.043,0.026,0.0159,0.0255,0.0,0.0024,0.0031,0.0003,0.0056,0.0045,0.0352,0.0095,0.0057,0.003,0.0032,0.0003,0.0014,0.0072
